Merry X-Mas Ransom,http://blog.checkpoint.com/wp-content/uploads/2017/03/MXM_Decryptor-3.7z
MirCop Ransom,https://success.trendmicro.com/solution/1114221
Mole Ransom,https://nomoreransom.cert.pl/static/mole_decryptor.exe
Nemucod Ransom,https://decrypter.emsisoft.com/download/nemucod
NemucodAES Ransom,https://decrypter.emsisoft.com/download/nemucodaes
Nmoreira Ransom,https://decrypter.emsisoft.com/download/nmoreira
Noobcrypt Ransom,https://files.avast.com/files/decryptor/avast_decryptor_noobcrypt.exe
Ozozalocker Ransom,https://decrypter.emsisoft.com/download/ozozalocker
PHP ransomware Ransom,http://blog.checkpoint.com/wp-content/uploads/2016/12/PHP-ransomware-decryptor.zip
Pewcrypt Ransom,https://decrypter.emsisoft.com/download/pewcrypt
Philadelphia Ransom,https://decrypter.emsisoft.com/download/philadelphia
Planetary Ransom,https://decrypter.emsisoft.com/download/planetary
Pletor Ransom,http://media.kaspersky.com/utilities/VirusUtilities/EN/rakhnidecryptor.zip
Popcorn Ransom,https://decrypter.emsisoft.com/download/popcorn
Pylocky Ransom,https://github.com/Cisco-Talos/pylocky_decryptor
Rakhni Ransom,http://media.kaspersky.com/utilities/VirusUtilities/EN/rakhnidecryptor.zip
Rannoh Ransom,http://media.kaspersky.com/utilities/VirusUtilities/EN/rannohdecryptor.zip
Rotor Ransom,http://media.kaspersky.com/utilities/VirusUtilities/EN/rakhnidecryptor.zip
SNSLocker Ransom,https://success.trendmicro.com/solution/1114221
Shade Ransom,http://media.kaspersky.com/utilities/VirusUtilities/EN/ShadeDecryptor.zip,http://www.mcafee.com/us/downloads/free-tools/shadedecrypt.aspx
Simplocker Ransom,https://download.eset.com/com/eset/tools/decryptors/simplocker/latest/eset-simplocker-decryptor.apk
Stampado Ransom,https://decrypter.emsisoft.com/download/stampado
Teamxrat/Xpan Ransom,https://success.trendmicro.com/solution/1114221
TeslaCrypt V1/2/3/4 Ransom,https://github.com/Cisco-Talos/TeslaDecrypt
Thanatos Ransom,https://github.com/Cisco-Talos/ThanatosDecryptor
Trustezeb Ransom,https://download.eset.com/com/eset/tools/decryptors/trustezeb_a/latest/esettrustezebadecoder.exe
Wildfire Ransom,http://media.kaspersky.com/utilities/VirusUtilities/RU/WildfireDecryptor.zip,http://www.mcafee.com/us/downloads/free-tools/wildfiredecrypt.aspx
XData Ransom,http://media.kaspersky.com/utilities/VirusUtilities/EN/rakhnidecryptor.zip
XORBAT Ransom,https://success.trendmicro.com/solution/1114221
XORIST Ransom,https://decrypter.emsisoft.com/download/xorist
ZQ Ransom,https://www.emsisoft.com/decrypter/download/zq

